kategori,kategori_label,kaynak,marka,sku,model
buzdolabi,Buzdolabı,samsung,Samsung,refrigerator-sbs-9-inch-ai-home-621l-black-doi-rs90f64eeftr,Bespoke AI Gardrop Tipi Buzdolabı AI Home™ 621L
buzdolabi,Buzdolabı,samsung,Samsung,rm90f-36-4-door-french-door-refrigerators-with-ai-home-and-ai-hybrid-cooling-658l-clean-white-rm90f66cewtr,Bespoke AI 4 Kapılı Buzdolabı AI Home™ 658L
buzdolabi,Buzdolabı,samsung,Samsung,rb6000d-508l-refined-inox-rb50dg601es9tr,Bespoke AI Alttan Donduruculu Buzdolabı Space Max™ 508L
buzdolabi,Buzdolabı,samsung,Samsung,rf9000d-rf9000dc-t-style-french-door-beverage-center-819l-rf71db965e8ctr,Bespoke AI 4 Kapılı Buzdolabı İçecek İstasyonu 819L
buzdolabi,Buzdolabı,samsung,Samsung,rf9000d-rf9000dc-t-style-french-door-beverage-center-821l-silver-rf71dg90besltr,Bespoke AI 4 Kapılı Buzdolabı Triple Cooling™ 821L
buzdolabi,Buzdolabı,samsung,Samsung,refrigerator-sbs-rs90f-basic-655l-black-doi-rs70f65qeftr,Bespoke AI Gardrop Tipi Buzdolabı Space Max™ 655L
buzdolabi,Buzdolabı,samsung,Samsung,rf9000d-rf9000dc-t-style-french-door-beverage-center-650l-silver-rf65dg90besltr,Bespoke AI 4 Kapılı Buzdolabı Triple Cooling™ 650L
buzdolabi,Buzdolabı,samsung,Samsung,rt7300d-smartthings-ai-energy-mode-top-mount-freezer-smartthings-ai-energy-mode-531l-silver-rt53dg7a14s9tr,Bespoke AI Üstten Donduruculu Buzdolabı Twin Cooling™ 530L
buzdolabi,Buzdolabı,samsung,Samsung,rb3000rm-twin-cooling-580l-silver-rb58ds75esa-tr,Alttan Donduruculu Buzdolabı Twin Cooling™ 580L
buzdolabi,Buzdolabı,samsung,Samsung,rt6300c-top-mount-freezer-bespoke-design-465l-white-rt47cg6636wwtr,Bespoke AI Üstten Donduruculu Buzdolabı Space Max™ 465L
buzdolabi,Buzdolabı,beko,Beko,7296526355,683616 IEBI
buzdolabi,Buzdolabı,beko,Beko,7256120210,970475 EB
buzdolabi,Buzdolabı,beko,Beko,7296520277,683616 EI
buzdolabi,Buzdolabı,beko,Beko,7296520215,683613 EB
buzdolabi,Buzdolabı,beko,Beko,7202920205,670475 MB
buzdolabi,Buzdolabı,beko,Beko,7202920203,670475 EA
buzdolabi,Buzdolabı,beko,Beko,7281520232,678551 EDI
buzdolabi,Buzdolabı,beko,Beko,7253620260,970477 MB
buzdolabi,Buzdolabı,beko,Beko,7281820256,974509 MI
buzdolabi,Buzdolabı,beko,Beko,7282140266,678551 EBC AI Fit
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7291620111,278552 EI AI Fit
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7296520186,283616 EI
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7295520166,391572 EB
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7291727736,574509 MI
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7296520147,283613 EB
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7296529446,283616 IEBI
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7285520143,391641 EI
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7289120164,583632 EI Fit
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7289120188,578557 EB Fit
buzdolabi,Buzdolabı,arcelik,ARÇELİK,7289120157,583632 EB Fit
buzdolabi,Buzdolabı,bosch,Bosch,KBN96ADD0,Serie 6 Alttan Donduruculu Ankastre Buzdolabı 193.5 x 70.8 cm softClosing Düz Menteşe
buzdolabi,Buzdolabı,bosch,Bosch,KFN96VPEA,Serie 4 Gardırop Tipi Buzdolabı 183 x 90.5 cm Paslanmaz çelik
buzdolabi,Buzdolabı,bosch,Bosch,KGP86AXB0N,Serie 8 Alttan Donduruculu Buzdolabı 186 x 86 cm Parmak izi bırakmayan siyah inoks
buzdolabi,Buzdolabı,bosch,Bosch,KGP86FIC0N,Serie 8 Alttan Donduruculu Buzdolabı 186 x 86 cm Paslanmaz çelik
buzdolabi,Buzdolabı,bosch,Bosch,KGP86FWC0N,"Serie 8 Alttan Donduruculu Buzdolabı 186 x 86 cm Beyaz, Total No Frost"
buzdolabi,Buzdolabı,bosch,Bosch,KDN86AID1N,Serie 6 Üstten Donduruculu Buzdolabı 186 x 86 cm Paslanmaz çelik
buzdolabi,Buzdolabı,bosch,Bosch,KGP76AIC0N,Serie 8 Alttan Donduruculu Buzdolabı 186 x 75 cm Paslanmaz çelik
buzdolabi,Buzdolabı,bosch,Bosch,KGA76PIE0N,Serie 8 Alttan Donduruculu Buzdolabı 186 x 75 cm Paslanmaz çelik
buzdolabi,Buzdolabı,bosch,Bosch,KGN86AID2N,Serie 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Paslanmaz çelik
buzdolabi,Buzdolabı,bosch,Bosch,KDN86AWE1N,"Serie 6 Üstten Donduruculu Buzdolabı 186 x 86 cm Beyaz, Total No Frost"
buzdolabi,Buzdolabı,siemens,Siemens,KF96RSBEA,"iQ700 Gardırop Tipi Buzdolabı, Cam Kapı 183 x 90.5 cm Siyah, Total noFrost"
buzdolabi,Buzdolabı,siemens,Siemens,KF96NAXEA,"iQ300 Gardırop Tipi Buzdolabı 183 x 90.5 cm BlackSteel, Total noFrost"
buzdolabi,Buzdolabı,siemens,Siemens,KF96NVPEA,iQ300 Gardırop Tipi Buzdolabı 183 x 90.5 cm Paslanmaz çelik
buzdolabi,Buzdolabı,siemens,Siemens,KG86PAXB0N,iQ700 Alttan Donduruculu Buzdolabı 186 x 86 cm BlackSteel
buzdolabi,Buzdolabı,siemens,Siemens,KG86PFIC0N,iQ700 Alttan Donduruculu Buzdolabı 186 x 86 cm Paslanmaz çelik
buzdolabi,Buzdolabı,siemens,Siemens,KG86PFWC0N,"iQ700 Alttan Donduruculu Buzdolabı 186 x 86 cm Beyaz, Total noFrost"
buzdolabi,Buzdolabı,siemens,Siemens,KD86NAID1N,iQ500 Üstten Donduruculu Buzdolabı 186 x 86 cm Paslanmaz çelik
buzdolabi,Buzdolabı,siemens,Siemens,KG76PAIC0N,iQ700 Alttan Donduruculu Buzdolabı 186 x 75 cm Paslanmaz çelik
buzdolabi,Buzdolabı,siemens,Siemens,KG86NAID2N,iQ500 Alttan Donduruculu Buzdolabı 186 x 86 cm Paslanmaz çelik
buzdolabi,Buzdolabı,siemens,Siemens,KD86NAWE1N,"iQ500 Üstten Donduruculu Buzdolabı 186 x 86 cm Beyaz, Total noFrost"
buzdolabi,Buzdolabı,vestel,Vestel,20268312,Vestel NF52111 451 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268350,Vestel NFK52011 471 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268306,Vestel NF48011 434 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268349,Vestel NFK52011 X 471 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268308,Vestel NF45011 402 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268348,Vestel NFK52112 E WIFI 471 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20269634,Vestel NFK60011 TE 533 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268346,Vestel NFK52112 EX WIFI 471 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268305,Vestel NF48011 X 434 Lt No-Frost Buzdolabı
buzdolabi,Buzdolabı,vestel,Vestel,20268345,Vestel NFK48011 427 Lt No-Frost Buzdolabı
derin_dondurucu,Derin Dondurucu,beko,Beko,7254120290,7072 MI
derin_dondurucu,Derin Dondurucu,beko,Beko,7266920111,7030 MB
derin_dondurucu,Derin Dondurucu,beko,Beko,7278420090,7682 NFI
derin_dondurucu,Derin Dondurucu,beko,Beko,7279720010,7071 MNFB
derin_dondurucu,Derin Dondurucu,beko,Beko,7278420011,7682 NFB
derin_dondurucu,Derin Dondurucu,beko,Beko,7294920115,7053 NFB
derin_dondurucu,Derin Dondurucu,beko,Beko,7294920117,7053 MB
derin_dondurucu,Derin Dondurucu,beko,Beko,7285920210,7362 NFB
derin_dondurucu,Derin Dondurucu,beko,Beko,7217620112,7032 MB
derin_dondurucu,Derin Dondurucu,beko,Beko,7254120210,7072 MB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7285920110,2162 NFB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7294220114,2175 JEB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7294220115,2783 DEB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7294920110,2053 MB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7294220194,2175 JEI
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7294920116,2053 NFB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7284740110,2071 NFB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7278420190,2682 NFI
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7278420010,2682 NFB
derin_dondurucu,Derin Dondurucu,arcelik,ARÇELİK,7279720011,2071 MNFB
derin_dondurucu,Derin Dondurucu,bosch,Bosch,GSN36VIE0N,Serie 4 Solo Derin Dondurucu 186 x 60 cm Paslanmaz çelik
derin_dondurucu,Derin Dondurucu,bosch,Bosch,GSN36VIEP,Serie 4 Solo Derin Dondurucu 186 x 60 cm Paslanmaz çelik
derin_dondurucu,Derin Dondurucu,bosch,Bosch,GSV33VIE0N,Serie 4 Solo Derin Dondurucu 176 x 60 cm Paslanmaz çelik
derin_dondurucu,Derin Dondurucu,bosch,Bosch,GSV29VWE0N,Serie 4 Solo Derin Dondurucu 161 x 60 cm Beyaz
derin_dondurucu,Derin Dondurucu,bosch,Bosch,GSV24VWE0N,Serie 4 Solo Derin Dondurucu 146 x 60 cm Beyaz
